file,slot,mean_x,mean_y,std_x,std_y,rank_std
skillcorner_match1886347_dynamic_train_attacker_centric.npz,0,47.31951141357422,41.11970520019531,24.678173065185547,18.797163009643555,2.1095312166701734
skillcorner_match1886347_dynamic_train_attacker_centric.npz,1,57.92304611206055,26.401491165161133,23.2142276763916,15.421172142028809,2.076994267318702
skillcorner_match1886347_dynamic_train_attacker_centric.npz,2,52.73402404785156,22.659427642822266,22.270475387573242,14.666389465332031,1.7497045444458525
skillcorner_match1886347_dynamic_train_attacker_centric.npz,3,38.49428176879883,38.18207550048828,29.004432678222656,12.773874282836914,2.9441876687182815
skillcorner_match1886347_dynamic_train_attacker_centric.npz,4,25.041606903076172,36.182640075683594,16.299768447875977,8.589369773864746,1.328670455802925
skillcorner_match1886347_dynamic_train_attacker_centric.npz,5,49.9493293762207,42.89006042480469,21.266408920288086,14.414468765258789,3.029763086167453
skillcorner_match1886347_dynamic_train_attacker_centric.npz,6,59.47551727294922,32.882530212402344,23.029733657836914,13.380936622619629,2.6358584939322256
skillcorner_match1886347_dynamic_train_attacker_centric.npz,7,54.77717590332031,42.97410583496094,25.582969665527344,15.916825294494629,2.8468030760999397
skillcorner_match1886347_dynamic_train_attacker_centric.npz,8,50.708534240722656,27.169069290161133,20.482990264892578,13.49439811706543,3.3933831173427014
skillcorner_match1886347_dynamic_train_attacker_centric.npz,9,56.46458435058594,29.002241134643555,20.180213928222656,18.94223976135254,2.4365781228671763
skillcorner_match1886347_dynamic_train_attacker_centric.npz,10,66.41293334960938,41.68924331665039,17.481470108032227,13.985142707824707,1.9724085892210201
skillcorner_match1899585_dynamic_train_attacker_centric.npz,0,59.985504150390625,42.331336975097656,22.28133201599121,17.335205078125,2.711140862312653
skillcorner_match1899585_dynamic_train_attacker_centric.npz,1,65.6044921875,33.71095657348633,22.285385131835938,19.53310203552246,1.566387460942884
skillcorner_match1899585_dynamic_train_attacker_centric.npz,2,58.872493743896484,32.538570404052734,21.404340744018555,14.167724609375,2.2497705038590223
skillcorner_match1899585_dynamic_train_attacker_centric.npz,3,38.0849609375,37.485836029052734,27.94477081298828,11.699196815490723,3.008050430199695
skillcorner_match1899585_dynamic_train_attacker_centric.npz,4,26.868896484375,37.451839447021484,19.491092681884766,7.942320823669434,1.6537869365547455
skillcorner_match1899585_dynamic_train_attacker_centric.npz,5,46.97964859008789,38.62672424316406,21.297218322753906,11.985320091247559,1.9300880594202434
skillcorner_match1899585_dynamic_train_attacker_centric.npz,6,69.03965759277344,33.30316162109375,20.05548858642578,15.810511589050293,1.455547808375736
