start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
9434,9437,TURNOVER,Away,15,Home,10,3
9601,9602,TURNOVER,Home,10,Away,16,1
9614,9619,TURNOVER,Away,16,Home,8,5
9629,9630,TURNOVER,Home,8,Away,25,1
9645,9646,TURNOVER,Away,25,Home,8,1
10401,10411,PASS,Home,6,Home,10,10
10464,10468,PASS,Home,10,Home,6,4
10494,10495,TURNOVER,Home,6,Away,24,1
10503,10524,TURNOVER,Away,24,Home,5,21
10555,10556,TURNOVER,Home,5,Away,23,1
10566,10594,TURNOVER,Away,23,Home,7,28
10620,10626,TURNOVER,Home,7,Away,19,6
10629,10630,PASS,Away,19,Away,22,1
10633,10634,TURNOVER,Away,22,Home,8,1
10637,10638,TURNOVER,Home,8,Away,20,1
10644,10645,PASS,Away,20,Away,15,1
10649,10650,TURNOVER,Away,15,Home,9,1
10651,10652,TURNOVER,Home,9,Away,15,1
10657,10658,TURNOVER,Away,15,Home,9,1
10666,10692,TURNOVER,Home,9,Away,22,26
10706,10707,TURNOVER,Away,22,Home,8,1
10728,10729,PASS,Home,8,Home,3,1
10747,10748,TURNOVER,Home,3,Away,22,1
10752,10753,PASS,Away,22,Away,15,1
10767,10768,PASS,Away,15,Away,22,1
10770,10771,PASS,Away,22,Away,17,1
11593,11615,PASS,Away,25,Away,17,22
11684,11697,PASS,Away,17,Away,22,13
11737,11758,PASS,Away,22,Away,20,21
11797,11809,PASS,Away,20,Away,19,12
11832,11833,TURNOVER,Away,19,Home,8,1
11841,11857,TURNOVER,Home,8,Away,24,16
11889,11914,PASS,Away,24,Away,18,25
11988,11989,TURNOVER,Away,18,Home,4,1
11997,12018,PASS,Home,4,Home,2,21
12026,12031,PASS,Home,2,Home,1,5
13551,13611,PASS,Home,11,Home,1,60
13619,13622,PASS,Home,1,Home,5,3
13634,13637,PASS,Home,5,Home,1,3
13675,13676,PASS,Home,1,Home,5,1
13679,13680,TURNOVER,Home,5,Away,21,1
13685,13691,TURNOVER,Away,21,Home,10,6
13693,13694,TURNOVER,Home,10,Away,17,1
13713,13738,TURNOVER,Away,17,Home,6,25
13745,13762,TURNOVER,Home,6,Away,15,17
13779,13813,TURNOVER,Away,15,Home,9,34
13842,13843,TURNOVER,Home,9,Away,16,1
13887,13888,PASS,Away,16,Away,18,1
13904,13909,TURNOVER,Away,18,Home,8,5
14583,14603,PASS,Home,4,Home,9,20
14609,14610,TURNOVER,Home,9,Away,18,1
14614,14615,PASS,Away,18,Away,19,1
14628,14632,TURNOVER,Away,19,Home,4,4
14644,14653,PASS,Home,4,Home,9,9
14658,14662,PASS,Home,9,Home,8,4
14730,14731,TURNOVER,Home,8,Away,18,1
14733,14734,PASS,Away,18,Away,16,1
14736,14737,PASS,Away,16,Away,21,1
14783,14788,PASS,Away,21,Away,19,5
14801,14812,PASS,Away,19,Away,16,11
14841,14842,TURNOVER,Away,16,Home,8,1
14853,14865,TURNOVER,Home,8,Away,21,12
14881,14883,PASS,Away,21,Away,18,2
14897,14922,PASS,Away,18,Away,24,25
14972,14973,TURNOVER,Away,24,Home,3,1
14979,15042,PASS,Home,3,Home,2,63
15053,15104,PASS,Home,2,Home,11,51
15153,15154,TURNOVER,Home,11,Away,23,1
15163,15215,TURNOVER,Away,23,Home,5,52
15218,15219,TURNOVER,Home,5,Away,17,1
15223,15224,TURNOVER,Away,17,Home,5,1
15235,15237,TURNOVER,Home,5,Away,22,2
15253,15260,TURNOVER,Away,22,Home,1,7
15302,15303,TURNOVER,Home,1,Away,22,1
15313,15326,TURNOVER,Away,22,Home,5,13
15366,15367,TURNOVER,Home,5,Away,20,1
15372,15373,TURNOVER,Away,20,Home,9,1
15419,15420,TURNOVER,Home,9,Away,19,1
15425,15426,TURNOVER,Away,19,Home,5,1
15444,15464,TURNOVER,Home,5,Away,16,20
15486,15516,PASS,Away,16,Away,25,30
15530,15561,TURNOVER,Away,25,Home,10,31
15576,15627,TURNOVER,Home,10,Away,24,51
15636,15637,TURNOVER,Away,24,Home,4,1
15652,15653,TURNOVER,Home,4,Away,24,1
15683,15684,TURNOVER,Away,24,Home,3,1
15925,15970,PASS,Home,3,Home,1,45
16053,16063,PASS,Home,1,Home,6,10
16076,16089,PASS,Home,6,Home,1,13
16103,16130,PASS,Home,1,Home,2,27
16170,16190,PASS,Home,2,Home,3,20
16224,16225,TURNOVER,Home,3,Away,24,1
16233,16249,TURNOVER,Away,24,Home,6,16
16260,16300,PASS,Home,6,Home,4,40
16342,16353,PASS,Home,4,Home,10,11
16393,16419,PASS,Home,10,Home,8,26
16469,16470,TURNOVER,Home,8,Away,15,1
17282,17302,PASS,Home,6,Home,8,20
17304,17305,TURNOVER,Home,8,Away,24,1
17308,17309,PASS,Away,24,Away,22,1
17310,17312,PASS,Away,22,Away,15,2
17314,17315,PASS,Away,15,Away,19,1
17316,17318,TURNOVER,Away,19,Home,1,2
17321,17322,TURNOVER,Home,1,Away,16,1
18210,18248,TURNOVER,Home,6,Away,17,38
18250,18251,TURNOVER,Away,17,Home,3,1
18252,18253,TURNOVER,Home,3,Away,17,1
18257,18258,PASS,Away,17,Away,15,1
18259,18260,PASS,Away,15,Away,19,1
18263,18264,TURNOVER,Away,19,Home,1,1
18265,18266,PASS,Home,1,Home,8,1
18274,18275,PASS,Home,8,Home,9,1
18566,18602,PASS,Away,25,Away,17,36
18734,18749,PASS,Away,17,Away,22,15
18802,18809,PASS,Away,22,Away,17,7
18881,18882,TURNOVER,Away,17,Home,9,1
