start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
11511,11519,PASS,Home,50955,Home,51685,8
11546,11558,PASS,Home,51685,Home,11117,12
11687,11704,PASS,Home,51013,Home,51685,17
11736,11741,PASS,Home,51685,Home,50955,5
11866,11885,PASS,Home,50955,Home,159688,19
11917,11925,PASS,Home,159688,Home,51013,8
11975,11985,PASS,Home,51013,Home,51685,10
12046,12059,PASS,Home,159688,Home,811820,13
12092,12094,PASS,Home,811820,Home,11117,2
12129,12130,PASS,Home,11117,Home,159688,1
12135,12136,PASS,Home,159688,Home,51685,1
12174,12179,PASS,Home,159688,Home,51013,5
12237,12244,PASS,Home,51013,Home,800322,7
12273,12294,PASS,Home,800322,Home,51685,21
12319,12324,PASS,Home,51685,Home,811820,5
12394,12405,PASS,Home,159688,Home,811820,11
12420,12422,PASS,Away,4322,Away,51667,2
12748,12763,PASS,Home,11885,Home,29075,15
12769,12802,PASS,Home,29075,Home,159688,33
12820,12842,PASS,Home,159688,Home,11885,22
12880,12881,PASS,Away,4322,Away,23418,1
12889,12890,PASS,Away,23418,Away,4322,1
12898,12899,PASS,Away,4322,Away,23418,1
12903,12904,PASS,Away,23418,Away,33697,1
12911,12924,PASS,Home,51685,Home,800322,13
12936,12937,PASS,Away,14736,Away,4322,1
12972,12993,PASS,Away,4322,Away,624628,21
13077,13078,PASS,Home,800322,Home,159688,1
13079,13080,PASS,Home,159688,Home,51685,1
13090,13095,PASS,Home,811820,Home,51678,5
13103,13104,PASS,Home,51678,Home,50955,1
13633,13634,PASS,Away,14736,Away,51667,1
13640,13656,PASS,Away,51667,Away,4322,16
13672,13711,PASS,Home,50955,Home,811820,39
13731,13745,PASS,Home,811820,Home,51685,14
13767,13774,PASS,Home,51685,Home,157294,7
13810,13816,PASS,Away,23418,Away,133498,6
13930,13931,PASS,Away,14736,Away,33697,1
13937,13940,PASS,Away,33697,Away,285188,3
13990,14406,PASS,Away,285188,Away,51667,125
14425,14426,PASS,Home,11117,Home,29075,1
14433,14434,PASS,Away,51667,Away,33697,1
14492,14503,PASS,Home,11885,Home,800322,11
14905,14906,PASS,Home,800322,Home,29075,1
14916,14917,PASS,Home,51013,Home,51678,1
15061,15071,PASS,Home,811820,Home,51685,10
15084,15091,PASS,Home,51685,Home,51678,7
15127,15141,PASS,Away,38673,Away,133498,14
15147,15148,PASS,Away,14736,Away,23418,1
15173,15174,PASS,Home,159688,Home,51685,1
15199,15203,PASS,Home,51685,Home,811820,4
15309,15315,PASS,Home,11117,Home,29075,6
15384,15385,PASS,Home,29075,Home,50955,1
15426,15442,PASS,Away,33697,Away,38673,16
15527,15540,PASS,Away,582974,Away,624628,13
15571,15572,PASS,Home,51013,Home,51678,1
15586,15587,PASS,Home,51678,Home,51013,1
15604,15605,PASS,Home,51013,Home,51678,1
15865,15866,PASS,Away,51667,Away,4322,1
16523,16528,PASS,Away,33697,Away,624628,5
16544,16546,PASS,Home,11885,Home,11117,2
16579,16584,PASS,Away,14736,Away,4322,5
16601,16680,PASS,Home,50955,Home,811820,79
16977,16994,PASS,Away,285188,Away,51667,17
17084,17103,PASS,Away,33697,Away,51667,19
17130,17161,PASS,Away,51667,Away,133498,31
17177,17518,PASS,Away,133498,Away,582974,77
17532,17533,PASS,Home,51685,Home,29075,1
17534,17535,PASS,Home,29075,Home,51013,1
17537,17538,PASS,Home,51013,Home,157294,1
17539,17540,PASS,Home,157294,Home,11117,1
17552,17553,PASS,Home,11117,Home,50955,1
17594,17601,PASS,Away,133498,Away,23418,7
17605,17606,PASS,Away,23418,Away,33697,1
17612,17649,PASS,Away,33697,Away,23418,37
17731,17732,PASS,Away,133498,Away,51667,1
17878,17912,PASS,Home,51685,Home,51013,34
17933,17934,PASS,Home,11117,Home,11885,1
18029,18056,PASS,Home,811820,Home,159688,27
18080,18093,PASS,Home,159688,Home,51013,13
18136,18144,PASS,Home,51013,Home,800322,8
18215,18216,PASS,Away,33697,Away,23418,1
18243,18244,PASS,Away,23418,Away,14736,1
18282,18283,PASS,Home,159688,Home,50955,1
18538,18544,PASS,Away,23418,Away,33697,6
18558,18564,PASS,Away,33697,Away,51667,6
18586,18589,PASS,Away,51667,Away,4322,3
18819,18830,PASS,Away,51667,Away,33697,11
18897,18910,PASS,Away,33697,Away,51667,13
18937,18938,PASS,Away,51667,Away,38673,1
18958,18969,PASS,Away,38673,Away,4322,11
18983,19000,PASS,Away,4322,Away,51667,17
19012,19015,PASS,Away,51667,Away,23418,3
19036,19047,PASS,Away,23418,Away,33697,11
19079,19086,PASS,Away,33697,Away,133498,7
19120,19137,PASS,Away,133498,Away,582974,17
19180,19181,PASS,Away,582974,Away,14736,1
19202,19469,PASS,Home,157294,Home,51678,60
19632,19633,PASS,Home,11885,Home,800322,1
19659,19661,PASS,Home,51013,Home,157294,2
19674,19675,PASS,Home,159688,Home,157294,1
20013,20026,PASS,Away,133498,Away,582974,13
20034,20035,PASS,Home,800322,Home,50955,1
20038,20040,PASS,Home,50955,Home,811820,2
20041,20042,PASS,Home,811820,Home,51013,1
20079,20080,PASS,Home,51678,Home,51013,1
20090,20091,PASS,Home,51013,Home,51678,1
20098,20181,PASS,Home,51678,Home,811820,2
20275,20285,PASS,Away,23418,Away,133501,10
20334,20338,PASS,Home,159688,Home,51685,4
20340,20341,PASS,Home,51685,Home,51013,1
20351,20363,PASS,Away,582974,Away,23418,12
20375,20376,PASS,Home,51013,Home,51678,1
20381,20831,PASS,Home,51678,Home,11885,82
21122,21124,PASS,Home,11885,Home,157294,2
21131,21139,PASS,Home,157294,Home,11117,8
21148,21155,PASS,Home,11117,Home,157294,7
21158,21159,PASS,Home,157294,Home,159688,1
21164,21168,PASS,Home,159688,Home,11885,4
21183,21184,PASS,Home,11885,Home,157294,1
21191,21210,PASS,Home,157294,Home,51685,19
21226,21227,PASS,Home,159688,Home,157294,1
21230,21232,PASS,Home,157294,Home,11885,2
21238,21239,PASS,Home,11885,Home,11117,1
21260,21261,PASS,Home,11117,Home,11885,1
21263,21264,PASS,Home,11885,Home,11117,1
21283,21284,PASS,Home,11117,Home,11885,1
21330,21334,PASS,Home,11117,Home,157294,4
21342,21344,PASS,Home,157294,Home,800322,2
21354,21362,PASS,Home,800322,Home,51013,8
21379,21394,PASS,Home,51013,Home,51685,15
21417,21424,PASS,Home,51685,Home,811820,7
21439,21444,PASS,Home,811820,Home,51685,5
21466,21475,PASS,Home,51685,Home,51013,9
21490,21499,PASS,Home,51013,Home,800322,9
21901,21902,PASS,Away,133498,Away,38673,1
21949,21955,PASS,Home,50955,Home,811820,6
22034,22039,PASS,Away,51667,Away,33697,5
22053,22056,PASS,Away,33697,Away,51667,3
22091,22095,PASS,Away,51667,Away,14736,4
22104,22113,PASS,Away,14736,Away,4322,9
22157,22158,PASS,Away,133501,Away,38673,1
22234,22235,PASS,Home,11117,Home,811820,1
22523,22532,PASS,Away,51667,Away,4322,9
22572,22581,PASS,Away,133501,Away,51667,9
22599,22606,PASS,Away,51667,Away,33697,7
22630,22638,PASS,Away,33697,Away,51667,8
22650,22655,PASS,Away,51667,Away,38673,5
22667,22675,PASS,Away,38673,Away,51667,8
22700,22705,PASS,Away,51667,Away,23418,5
22711,22719,PASS,Away,23418,Away,51667,8
22731,22733,PASS,Away,51667,Away,23418,2
22761,22776,PASS,Away,23418,Away,33697,15
22798,22826,PASS,Away,33697,Away,4322,28
22855,22859,PASS,Away,4322,Away,38673,4
22871,22872,PASS,Away,38673,Away,4322,1
22874,22875,PASS,Away,4322,Away,38673,1
22935,22936,PASS,Away,133501,Away,4322,1
22946,22947,PASS,Home,159688,Home,50955,1
23005,23349,PASS,Home,159688,Home,51685,144
23367,23373,PASS,Away,23418,Away,14736,6
23402,23462,PASS,Home,11117,Home,51685,60
23523,23532,PASS,Home,51685,Home,51013,9
23558,23566,PASS,Home,51013,Home,800322,8
23581,23585,PASS,Home,800322,Home,11885,4
23592,23594,PASS,Home,11885,Home,800322,2
23607,23625,PASS,Home,800322,Home,51685,18
23647,23654,PASS,Home,51685,Home,157294,7
23877,23878,PASS,Home,157294,Home,11117,1
23885,23890,PASS,Home,11117,Home,29075,5
23915,23917,PASS,Away,14736,Away,23418,2
24002,24003,PASS,Home,11885,Home,29075,1
24010,24011,PASS,Home,11885,Home,11117,1
24025,24029,PASS,Away,23418,Away,38673,4
24076,24085,PASS,Home,159688,Home,51013,9
24129,24130,PASS,Home,159688,Home,11117,1
24137,24142,PASS,Home,11117,Home,800322,5
24166,24167,PASS,Away,582974,Away,133498,1
24291,24299,PASS,Away,38673,Away,582974,8
24331,24333,PASS,Home,159688,Home,51013,2
24338,24364,PASS,Home,51013,Home,51678,26
24393,24791,PASS,Home,51678,Home,157294,70
24897,24904,PASS,Away,133498,Away,582974,7
24943,24944,PASS,Away,23418,Away,14736,1
24990,25002,PASS,Away,14736,Away,4322,12
25025,25028,PASS,Away,4322,Away,23418,3
25076,25084,PASS,Away,38673,Away,33697,8
25102,25114,PASS,Away,33697,Away,133498,12
25156,25160,PASS,Away,23418,Away,14736,4
25175,25184,PASS,Away,14736,Away,51667,9
25207,25222,PASS,Away,51667,Away,4322,15
25241,25255,PASS,Away,4322,Away,51667,14
25268,25272,PASS,Away,51667,Away,23418,4
25295,25296,PASS,Away,23418,Away,14736,1
25302,25304,PASS,Away,14736,Away,624628,2
25689,25690,PASS,Home,50955,Home,29075,1
25703,25709,PASS,Away,133501,Away,23418,6
25723,25727,PASS,Away,23418,Away,4322,4
25753,25754,PASS,Home,159688,Home,811820,1
25758,25759,PASS,Home,811820,Home,29075,1
25761,25762,PASS,Home,29075,Home,157294,1
25763,25764,PASS,Home,157294,Home,29075,1
25930,26036,PASS,Away,4322,Away,23418,106
26043,26049,PASS,Away,23418,Away,51667,6
26077,26115,PASS,Away,51667,Away,23418,38
26123,26128,PASS,Away,23418,Away,51667,5
26151,26162,PASS,Away,51667,Away,23418,11
26367,26371,PASS,Home,11117,Home,11885,4
26961,26962,PASS,Home,159688,Home,157294,1
27231,27232,PASS,Away,4322,Away,38673,1
27263,27264,PASS,Home,50955,Home,29075,1
27277,27287,PASS,Away,51667,Away,4322,10
27315,27326,PASS,Home,159688,Home,157294,11
27454,27459,PASS,Home,157294,Home,800322,5
27475,27476,PASS,Away,582974,Away,23418,1
27507,27508,PASS,Away,133498,Away,23418,1
28093,28144,PASS,Home,11117,Home,800322,51
28193,28207,PASS,Home,800322,Home,11885,14
28251,28252,PASS,Away,23418,Away,14736,1
28308,28313,PASS,Home,157294,Home,800322,5
28327,28328,PASS,Home,800322,Home,157294,1
28348,28351,PASS,Away,14736,Away,582974,3
28393,28394,PASS,Away,582974,Away,23418,1
28468,28470,PASS,Away,133498,Away,38673,2
28500,28510,PASS,Home,50955,Home,811820,10
28516,28522,PASS,Home,811820,Home,51678,6
28770,28778,PASS,Home,11117,Home,800322,8
28947,28948,PASS,Home,157294,Home,800322,1
28973,28974,PASS,Home,800322,Home,51013,1
28977,28978,PASS,Home,51013,Home,51685,1
28984,28989,PASS,Home,51685,Home,811820,5
28994,29191,PASS,Home,811820,Home,50955,90
29220,29222,PASS,Away,14736,Away,4322,2
29275,29279,PASS,Home,159688,Home,51013,4
29282,29283,PASS,Home,51013,Home,51685,1
29296,29350,PASS,Away,133501,Away,51667,54
29358,29465,PASS,Away,51667,Away,4322,107
29629,29636,PASS,Away,4322,Away,51667,7
30166,30167,PASS,Away,133501,Away,14736,1
30173,39670,PASS,Away,14736,Away,38673,37
39684,39689,PASS,Away,38673,Away,14736,5
39717,39732,PASS,Home,11117,Home,11885,15
39853,39854,PASS,Home,11885,Home,11117,1
39868,39869,PASS,Away,33697,Away,133498,1
39877,39878,PASS,Away,133498,Away,582974,1
