start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
62,80,PASS,Away,23,Away,20,18
154,181,PASS,Away,20,Away,18,27
256,278,PASS,Away,18,Away,17,22
325,343,PASS,Away,17,Away,16,18
404,420,PASS,Away,16,Away,15,16
452,453,TURNOVER,Away,15,Home,8,1
461,484,PASS,Home,8,Home,4,23
495,497,TURNOVER,Home,4,Away,23,2
500,501,TURNOVER,Away,23,Home,3,1
504,505,TURNOVER,Home,3,Away,23,1
516,517,TURNOVER,Away,23,Home,4,1
529,671,TURNOVER,Home,4,Away,15,142
682,716,PASS,Away,15,Away,16,34
778,804,PASS,Away,16,Away,17,26
865,915,PASS,Away,17,Away,16,50
935,942,PASS,Away,16,Away,15,7
968,1007,PASS,Away,15,Away,16,39
1024,1083,TURNOVER,Away,16,Home,6,59
1084,1085,TURNOVER,Home,6,Away,23,1
1093,1108,PASS,Away,23,Away,21,15
1162,1163,PASS,Away,21,Away,20,1
1178,1183,TURNOVER,Away,20,Home,9,5
1192,1219,TURNOVER,Home,9,Away,18,27
1293,1294,TURNOVER,Away,18,Home,5,1
1308,1314,TURNOVER,Home,5,Away,24,6
1401,1421,TURNOVER,Away,24,Home,1,20
1476,1486,PASS,Home,1,Home,11,10
1497,1510,PASS,Home,11,Home,2,13
1519,1535,PASS,Home,2,Home,6,16
1548,1573,TURNOVER,Home,6,Away,18,25
1576,1577,TURNOVER,Away,18,Home,9,1
1582,1583,TURNOVER,Home,9,Away,17,1
1589,1609,PASS,Away,17,Away,16,20
1622,1627,PASS,Away,16,Away,20,5
1642,1671,TURNOVER,Away,20,Home,6,29
1683,1685,PASS,Home,6,Home,7,2
1710,1711,TURNOVER,Home,7,Away,24,1
1731,1748,PASS,Away,24,Away,21,17
1791,1837,PASS,Away,21,Away,15,46
1851,1871,TURNOVER,Away,15,Home,7,20
1883,1912,PASS,Home,7,Home,8,29
1917,1918,TURNOVER,Home,8,Away,15,1
1946,1987,PASS,Away,15,Away,16,41
2035,2073,PASS,Away,16,Away,17,38
2207,2237,PASS,Away,17,Away,16,30
2293,2316,PASS,Away,16,Away,15,23
2353,2354,TURNOVER,Away,15,Home,8,1
2361,2366,TURNOVER,Home,8,Away,19,5
2371,2372,TURNOVER,Away,19,Home,4,1
2381,2399,TURNOVER,Home,4,Away,24,18
2411,2412,TURNOVER,Away,24,Home,3,1
2417,2418,TURNOVER,Home,3,Away,24,1
2425,2434,PASS,Away,24,Away,19,9
2436,2437,TURNOVER,Away,19,Home,8,1
2469,2470,TURNOVER,Home,8,Away,19,1
2485,2486,TURNOVER,Away,19,Home,4,1
2520,2542,PASS,Home,4,Home,3,22
2611,2641,TURNOVER,Home,3,Away,23,30
2646,2679,PASS,Away,23,Away,22,33
2699,2703,TURNOVER,Away,22,Home,1,4
2716,2730,PASS,Home,1,Home,5,14
2791,2792,TURNOVER,Home,5,Away,23,1
2801,2808,TURNOVER,Away,23,Home,6,7
2912,2921,PASS,Home,6,Home,10,9
2926,2927,TURNOVER,Home,10,Away,17,1
2933,2964,TURNOVER,Away,17,Home,1,31
3002,3003,TURNOVER,Home,1,Away,22,1
3009,3037,PASS,Away,22,Away,17,28
3081,3118,PASS,Away,17,Away,18,37
3132,3133,TURNOVER,Away,18,Home,1,1
3143,3149,TURNOVER,Home,1,Away,22,6
3162,3190,PASS,Away,22,Away,23,28
3202,3212,TURNOVER,Away,23,Home,3,10
3257,3307,PASS,Home,3,Home,11,50
3352,3388,PASS,Home,11,Home,2,36
3438,3450,PASS,Home,2,Home,5,12
3515,3524,PASS,Home,5,Home,9,9
3607,3608,TURNOVER,Home,9,Away,20,1
3620,3636,TURNOVER,Away,20,Home,6,16
3665,3666,TURNOVER,Home,6,Away,20,1
3670,3671,TURNOVER,Away,20,Home,9,1
3677,3678,TURNOVER,Home,9,Away,23,1
3686,3715,TURNOVER,Away,23,Home,4,29
3758,3793,PASS,Home,4,Home,8,35
3844,3868,PASS,Home,8,Home,7,24
3944,3956,PASS,Home,7,Home,4,12
4039,4050,PASS,Home,4,Home,6,11
4083,4093,PASS,Home,6,Home,5,10
4139,4174,PASS,Home,5,Home,1,35
4232,4250,PASS,Home,1,Home,5,18
4265,4266,TURNOVER,Home,5,Away,22,1
4276,4281,PASS,Away,22,Away,20,5
4286,4287,TURNOVER,Away,20,Home,9,1
4299,4300,TURNOVER,Home,9,Away,18,1
4309,4326,TURNOVER,Away,18,Home,1,17
4363,4364,TURNOVER,Home,1,Away,18,1
4372,4373,TURNOVER,Away,18,Home,9,1
4404,4405,TURNOVER,Home,9,Away,18,1
4412,4416,TURNOVER,Away,18,Home,5,4
4426,4427,TURNOVER,Home,5,Away,20,1
4431,4432,PASS,Away,20,Away,17,1
4439,4440,PASS,Away,17,Away,25,1
4964,4999,PASS,Away,25,Away,17,35
5009,5030,TURNOVER,Away,17,Home,5,21
5037,5038,TURNOVER,Home,5,Away,23,1
5052,5053,TURNOVER,Away,23,Home,5,1
5070,5088,PASS,Home,5,Home,9,18
5098,5099,TURNOVER,Home,9,Away,18,1
5102,5103,TURNOVER,Away,18,Home,9,1
5111,5126,TURNOVER,Home,9,Away,22,15
5136,5137,TURNOVER,Away,22,Home,1,1
5144,5158,PASS,Home,1,Home,6,14
5230,5251,PASS,Home,6,Home,4,21
5379,5385,TURNOVER,Home,4,Away,21,6
5393,5398,TURNOVER,Away,21,Home,10,5
5410,5421,PASS,Home,10,Home,7,11
5450,5451,TURNOVER,Home,7,Away,15,1
5460,5475,TURNOVER,Away,15,Home,8,15
5486,5487,TURNOVER,Home,8,Away,19,1
5499,5517,TURNOVER,Away,19,Home,4,18
5543,5556,PASS,Home,4,Home,8,13
5649,5655,PASS,Home,8,Home,9,6
5668,5682,PASS,Home,9,Home,4,14
5716,5740,PASS,Home,4,Home,7,24
5753,5759,PASS,Home,7,Home,9,6
5770,5771,TURNOVER,Home,9,Away,19,1
5785,5789,PASS,Away,19,Away,21,4
5855,5856,TURNOVER,Away,21,Home,8,1
5860,5861,TURNOVER,Home,8,Away,15,1
5888,5889,TURNOVER,Away,15,Home,9,1
5895,5897,TURNOVER,Home,9,Away,19,2
5931,5932,TURNOVER,Away,19,Home,9,1
5943,5955,TURNOVER,Home,9,Away,16,12
5970,6003,PASS,Away,16,Away,17,33
6044,6074,PASS,Away,17,Away,18,30
6367,6376,PASS,Home,1,Home,5,9
6402,6416,PASS,Home,5,Home,9,14
6497,6498,TURNOVER,Home,9,Away,22,1
6510,6512,TURNOVER,Away,22,Home,1,2
6603,6604,TURNOVER,Home,1,Away,20,1
6612,6630,PASS,Away,20,Away,16,18
6638,6680,TURNOVER,Away,16,Home,6,42
6690,6691,TURNOVER,Home,6,Away,23,1
6704,6705,TURNOVER,Away,23,Home,6,1
6715,6721,TURNOVER,Home,6,Away,24,6
6747,6748,TURNOVER,Away,24,Home,4,1
6752,6753,TURNOVER,Home,4,Away,24,1
6760,6761,TURNOVER,Away,24,Home,6,1
6819,6820,PASS,Home,6,Home,1,1
6840,6853,PASS,Home,1,Home,4,13
6906,6938,PASS,Home,4,Home,8,32
7073,7074,TURNOVER,Home,8,Away,19,1
7085,7142,PASS,Away,19,Away,18,57
7854,7887,TURNOVER,Away,25,Home,5,33
7888,7889,TURNOVER,Home,5,Away,23,1
8156,8196,PASS,Home,6,Home,4,40
8317,8318,TURNOVER,Home,4,Away,19,1
8326,8342,PASS,Away,19,Away,15,16
8390,8391,PASS,Away,15,Away,21,1
8404,8408,PASS,Away,21,Away,20,4
8422,8430,PASS,Away,20,Away,21,8
8487,8488,TURNOVER,Away,21,Home,6,1
8491,8492,PASS,Home,6,Home,8,1
8516,8517,TURNOVER,Home,8,Away,15,1
8534,8542,PASS,Away,15,Away,19,8
