start_frame,end_frame,type,from_team,from_player,to_team,to_player,pass_outcome
28,28,PASS,Away,966120,Away,51649,successful
58,58,PASS,Away,51649,Away,735578,successful
89,89,PASS,Away,735578,Away,966120,unsuccessful
229,229,PASS,Home,33697,Home,133498,successful
251,251,PASS,Home,133498,Home,965685,unsuccessful
299,299,PASS,Away,50983,Away,50978,unsuccessful
337,337,PASS,Home,965685,Home,23418,successful
350,350,PASS,Home,23418,Home,38673,unsuccessful
430,430,PASS,Away,51009,Away,735578,successful
460,460,PASS,Away,735578,Away,51649,successful
504,504,PASS,Away,51649,Away,966120,unsuccessful
526,526,PASS,Home,51713,Home,23418,successful
564,564,PASS,Home,23418,Home,133501,successful
587,587,PASS,Home,133501,Home,51713,successful
607,607,PASS,Home,51713,Home,51667,unsuccessful
766,766,PASS,Home,23418,Home,50951,successful
776,776,PASS,Home,50951,Home,14736,successful
796,796,PASS,Home,14736,Home,285188,unsuccessful
996,996,PASS,Away,50978,Away,50983,successful
1110,1110,PASS,Away,735574,Away,176224,successful
1131,1131,PASS,Away,176224,Away,51649,successful
1170,1170,PASS,Away,51649,Away,735578,successful
1192,1192,PASS,Away,735578,Away,735573,successful
1214,1214,PASS,Away,735573,Away,735578,successful
1238,1238,PASS,Away,735578,Away,51649,successful
1254,1254,PASS,Away,51649,Away,176224,successful
1283,1283,PASS,Away,176224,Away,51649,successful
1309,1309,PASS,Away,51649,Away,50978,successful
1334,1334,PASS,Away,50978,Away,176224,successful
1344,1344,PASS,Away,176224,Away,795505,successful
1423,1423,PASS,Away,795505,Away,966120,successful
1463,1463,PASS,Home,33697,Home,133501,unsuccessful
1492,1492,PASS,Away,966120,Away,735574,successful
1529,1529,PASS,Away,735574,Away,735573,successful
1564,1564,PASS,Home,14736,Home,51713,successful
1574,1574,PASS,Home,51713,Home,133501,successful
1606,1606,PASS,Home,133501,Home,50951,unsuccessful
1648,1648,PASS,Away,966120,Away,795507,successful
1715,1715,PASS,Home,51713,Home,50951,unsuccessful
1731,1731,PASS,Away,735578,Away,735573,successful
1756,1756,PASS,Away,735573,Away,735578,successful
1771,1771,PASS,Away,735578,Away,735574,successful
1798,1798,PASS,Away,735574,Away,176224,successful
1844,1844,PASS,Away,176224,Away,50983,successful
1863,1863,PASS,Away,50983,Away,176224,successful
1893,1893,PASS,Away,176224,Away,51649,successful
1918,1918,PASS,Away,51649,Away,176224,successful
1924,1924,PASS,Away,176224,Away,51009,successful
1963,1963,PASS,Away,51009,Away,735578,successful
1994,1994,PASS,Away,735578,Away,51649,successful
2104,2104,PASS,Away,51649,Away,176224,successful
2137,2137,PASS,Away,176224,Away,51649,successful
2179,2179,PASS,Away,51649,Away,735574,successful
2185,2185,PASS,Away,735574,Away,51649,successful
2202,2202,PASS,Away,51649,Away,176224,successful
2231,2231,PASS,Away,176224,Away,50978,successful
2241,2241,PASS,Away,50978,Away,50983,successful
2257,2257,PASS,Away,50983,Away,176224,successful
2277,2277,PASS,Away,176224,Away,51649,successful
2297,2297,PASS,Away,51649,Away,735578,successful
2351,2351,PASS,Away,735578,Away,795505,successful
2402,2402,PASS,Away,50978,Away,50983,successful
2429,2429,PASS,Away,50983,Away,795505,successful
2461,2461,PASS,Away,795505,Away,176224,successful
2473,2473,PASS,Away,176224,Away,795505,successful
2504,2504,PASS,Away,795505,Away,51649,successful
2518,2518,PASS,Away,51649,Away,176224,successful
2535,2535,PASS,Away,176224,Away,51649,successful
2576,2576,PASS,Away,51649,Away,50983,successful
2862,2862,PASS,Away,795505,Away,50983,successful
2882,2882,PASS,Away,50983,Away,50978,successful
2891,2891,PASS,Away,50978,Away,795505,successful
2902,2902,PASS,Away,795505,Away,51649,successful
2914,2914,PASS,Away,51649,Away,50983,successful
2922,2922,PASS,Away,50983,Away,50978,unsuccessful
2929,2929,PASS,Away,50978,Away,795505,unsuccessful
3065,3065,PASS,Away,966120,Away,50983,successful
3094,3094,PASS,Away,50983,Away,50978,successful
3430,3430,PASS,Home,33697,Home,51667,successful
3470,3470,PASS,Home,51667,Home,33697,successful
3508,3508,PASS,Home,33697,Home,51667,successful
3562,3562,PASS,Home,51667,Home,33697,successful
3600,3600,PASS,Home,33697,Home,51667,successful
3637,3637,PASS,Home,51667,Home,51713,successful
3661,3661,PASS,Home,51713,Home,51667,successful
3691,3691,PASS,Home,51667,Home,285188,successful
3724,3724,PASS,Home,285188,Home,965685,successful
3799,3799,PASS,Away,795505,Away,50978,successful
3817,3817,PASS,Away,50978,Away,735573,successful
3866,3866,PASS,Home,50951,Home,38673,unsuccessful
3921,3921,PASS,Away,735578,Away,51009,successful
3955,3955,PASS,Away,51009,Away,735573,unsuccessful
3988,3988,PASS,Home,51713,Home,14736,unsuccessful
4009,4009,PASS,Away,795507,Away,735573,successful
4025,4025,PASS,Home,14736,Home,133501,unsuccessful
4183,4183,PASS,Home,38673,Home,50951,successful
4223,4223,PASS,Home,50951,Home,23418,successful
4382,4382,PASS,Away,51649,Away,735578,successful
4393,4393,PASS,Away,735578,Away,735573,successful
4418,4418,PASS,Away,735573,Away,50978,successful
4425,4425,PASS,Away,50978,Away,795507,unsuccessful
4437,4437,PASS,Home,14736,Home,51713,successful
4452,4452,PASS,Away,735573,Away,795507,successful
4470,4470,PASS,Away,795507,Away,795505,successful
4491,4491,PASS,Away,795505,Away,50983,successful
4552,4552,PASS,Away,50983,Away,735573,unsuccessful
4569,4569,PASS,Home,51667,Home,133501,successful
4620,4620,PASS,Home,133501,Home,38673,unsuccessful
4685,4685,PASS,Away,735578,Away,735573,successful
4700,4700,PASS,Away,735573,Away,50978,successful
4709,4709,PASS,Away,50978,Away,795507,unsuccessful
4762,4762,PASS,Home,14736,Home,285188,successful
4801,4801,PASS,Home,285188,Home,51713,successful
4831,4831,PASS,Home,51713,Home,133501,unsuccessful
5008,5008,PASS,Away,795507,Away,735578,successful
5016,5016,PASS,Away,735578,Away,735574,successful
5038,5038,PASS,Away,735574,Away,176224,successful
5080,5080,PASS,Away,176224,Away,50983,successful
5123,5123,PASS,Away,50983,Away,50978,successful
5135,5135,PASS,Away,50978,Away,,unsuccessful
5412,5412,PASS,Home,133498,Home,50951,successful
5437,5437,PASS,Home,965685,Home,38673,successful
5763,5763,PASS,Away,51649,Away,966120,successful
5788,5788,PASS,Away,966120,Away,735573,unsuccessful
5972,5972,PASS,Home,14736,Home,51713,successful
5988,5988,PASS,Home,51713,Home,51667,successful
6010,6010,PASS,Home,51667,Home,33697,successful
6054,6054,PASS,Home,33697,Home,133498,successful
6079,6079,PASS,Home,133498,Home,965685,successful
6131,6131,PASS,Home,965685,Home,33697,successful
6156,6156,PASS,Home,33697,Home,133498,successful
6192,6192,PASS,Home,133498,Home,965685,successful
6218,6218,PASS,Home,965685,Home,51713,successful
6272,6272,PASS,Home,51713,Home,51667,successful
6295,6295,PASS,Home,51667,Home,33697,successful
6320,6320,PASS,Home,33697,Home,133498,successful
6346,6346,PASS,Home,133498,Home,50951,successful
6359,6359,PASS,Home,50951,Home,23418,unsuccessful
6400,6400,PASS,Away,50983,Away,735574,successful
6417,6417,PASS,Away,735574,Away,51649,successful
6439,6439,PASS,Away,51649,Away,735578,successful
6458,6458,PASS,Away,735578,Away,735574,successful
6483,6483,PASS,Away,735574,Away,735578,successful
6501,6501,PASS,Away,735578,Away,51649,successful
6558,6558,PASS,Away,51649,Away,50978,successful
6577,6577,PASS,Away,50978,Away,735578,successful
6602,6602,PASS,Away,735578,Away,51649,successful
6622,6622,PASS,Away,51649,Away,176224,successful
6655,6655,PASS,Away,176224,Away,51649,successful
6707,6707,PASS,Away,51649,Away,735574,successful
6728,6728,PASS,Away,735574,Away,176224,successful
6759,6759,PASS,Away,176224,Away,51649,successful
6779,6779,PASS,Away,51649,Away,735578,successful
6808,6808,PASS,Away,735578,Away,966120,successful
6837,6837,PASS,Away,966120,Away,735574,successful
6867,6867,PASS,Away,735574,Away,51649,successful
6888,6888,PASS,Away,51649,Away,50983,unsuccessful
7168,7168,PASS,Home,38673,Home,965685,unsuccessful
7256,7256,PASS,Away,176224,Away,51649,successful
7288,7288,PASS,Away,51649,Away,176224,successful
7313,7313,PASS,Away,176224,Away,50978,successful
7338,7338,PASS,Away,50978,Away,51649,successful
7383,7383,PASS,Away,51649,Away,176224,successful
7408,7408,PASS,Away,176224,Away,50983,successful
7433,7433,PASS,Away,50983,Away,795505,successful
7456,7456,PASS,Home,965685,Home,38673,unsuccessful
7480,7480,PASS,Away,735574,Away,735573,successful
7939,7939,PASS,Home,50951,Home,14736,unsuccessful
7967,7967,PASS,Home,33697,Home,285188,successful
8011,8011,PASS,Away,795505,Away,51649,unsuccessful
8037,8037,PASS,Home,965685,Home,23418,successful
8075,8075,PASS,Home,23418,Home,133501,unsuccessful
8326,8326,PASS,Home,50951,Home,51713,unsuccessful
8354,8354,PASS,Home,51667,Home,51713,successful
8386,8386,PASS,Home,51713,Home,14736,successful
8426,8426,PASS,Home,14736,Home,23418,successful
8490,8490,PASS,Home,23418,Home,50951,successful
8515,8515,PASS,Home,50951,Home,133501,successful
8593,8593,PASS,Home,133501,Home,51713,successful
8653,8653,PASS,Home,51713,Home,51667,successful
8674,8674,PASS,Home,51667,Home,33697,successful
8702,8702,PASS,Home,33697,Home,133498,successful
8734,8734,PASS,Home,133498,Home,33697,successful
8769,8769,PASS,Home,33697,Home,23418,successful
8787,8787,PASS,Home,23418,Home,50951,unsuccessful
8808,8808,PASS,Away,50978,Away,795505,unsuccessful
8825,8825,PASS,Home,133498,Home,965685,unsuccessful
8857,8857,PASS,Away,50983,Away,735574,successful
8866,8866,PASS,Away,735574,Away,176224,successful
8875,8875,PASS,Away,176224,Away,735574,successful
8892,8892,PASS,Away,735574,Away,50983,successful
8919,8919,PASS,Away,50983,Away,966120,successful
8980,8980,PASS,Home,51667,Home,285188,successful
9027,9027,PASS,Home,285188,Home,33697,successful
9068,9068,PASS,Home,33697,Home,51667,successful
9131,9131,PASS,Home,51667,Home,33697,successful
9172,9172,PASS,Home,33697,Home,965685,unsuccessful
9266,9266,PASS,Away,50978,Away,51649,successful
9275,9275,PASS,Away,51649,Away,795507,unsuccessful
9301,9301,PASS,Home,14736,Home,23418,successful
9329,9329,PASS,Home,23418,Home,50951,unsuccessful
9487,9487,PASS,Away,50983,Away,,unsuccessful
9523,9523,PASS,Home,33697,Home,51667,successful
9547,9547,PASS,Home,51667,Home,14736,successful
9559,9559,PASS,Home,14736,Home,51667,successful
9589,9589,PASS,Home,51667,Home,14736,successful
9624,9624,PASS,Home,14736,Home,51667,successful
9647,9647,PASS,Home,51667,Home,38673,successful
9670,9670,PASS,Home,38673,Home,50951,unsuccessful
9696,9696,PASS,Away,735578,Away,50978,successful
9760,9760,PASS,Away,50978,Away,50983,successful
9839,9839,PASS,Away,50983,Away,50978,successful
10100,10100,PASS,Home,51713,Home,133501,unsuccessful
10170,10170,PASS,Away,735574,Away,795507,successful
10185,10185,PASS,Away,795507,Away,795505,successful
10258,10258,PASS,Away,795505,Away,795507,unsuccessful
