start_frame,end_frame,type,from_team,from_player,to_team,to_player,pass_outcome
18,18,PASS,Away,50980,Away,5805,successful
48,48,PASS,Away,5805,Away,11895,successful
80,80,PASS,Away,11895,Away,12120,unsuccessful
93,93,PASS,Home,50992,Home,11891,successful
115,115,PASS,Home,11891,Home,963054,successful
159,159,PASS,Away,51006,Away,808580,unsuccessful
192,192,PASS,Home,11891,Home,9520,successful
240,240,PASS,Home,9520,Home,159945,unsuccessful
260,260,PASS,Away,5805,Away,51648,successful
296,296,PASS,Home,26095,Home,159945,unsuccessful
338,338,PASS,Away,5805,Away,3443,successful
356,356,PASS,Away,3443,Away,50980,successful
557,557,PASS,Home,104563,Home,9520,successful
591,591,PASS,Home,9520,Home,11891,successful
619,619,PASS,Home,11891,Home,9520,successful
647,647,PASS,Home,9520,Home,50992,successful
659,659,PASS,Home,50992,Home,9520,unsuccessful
882,882,PASS,Home,963054,Home,26095,successful
924,924,PASS,Home,26095,Home,159945,unsuccessful
1126,1126,PASS,Home,963054,Home,,unsuccessful
1135,1135,PASS,Away,50980,Away,,unsuccessful
1200,1200,PASS,Home,104563,Home,26095,unsuccessful
1233,1233,PASS,Home,9520,Home,963054,successful
1253,1253,PASS,Home,963054,Home,11891,successful
1279,1279,PASS,Home,11891,Home,50992,successful
1301,1301,PASS,Home,50992,Home,9520,successful
1324,1324,PASS,Home,9520,Home,11891,successful
1352,1352,PASS,Home,11891,Home,104563,successful
1427,1427,PASS,Home,104563,Home,114464,successful
1452,1452,PASS,Home,114464,Home,9520,successful
1469,1469,PASS,Home,9520,Home,26095,successful
1482,1482,PASS,Home,26095,Home,9520,successful
1543,1543,PASS,Home,9520,Home,963054,unsuccessful
1559,1559,PASS,Away,808580,Away,12120,successful
1573,1573,PASS,Away,12120,Away,50980,unsuccessful
1610,1610,PASS,Home,114464,Home,7252,successful
1636,1636,PASS,Home,7252,Home,159945,successful
1684,1684,PASS,Home,159945,Home,7252,successful
2857,2857,PASS,Away,11895,Away,51044,successful
2886,2886,PASS,Away,51044,Away,5805,successful
2933,2933,PASS,Away,5805,Away,3443,successful
2955,2955,PASS,Away,3443,Away,51014,successful
