start_frame,end_frame,type,from_team,from_player,to_team,to_player,pass_outcome
4040,4040,PASS,Home,795529,Home,23883,successful
4081,4081,PASS,Home,23883,Home,957737,successful
4101,4101,PASS,Home,957737,Home,23922,successful
4119,4119,PASS,Home,23922,Home,957737,successful
4146,4146,PASS,Home,957737,Home,23883,successful
4198,4198,PASS,Home,23883,Home,957737,successful
4240,4240,PASS,Home,957737,Home,23883,successful
4285,4285,PASS,Home,23883,Home,957737,successful
4324,4324,PASS,Home,957737,Home,23922,successful
4350,4350,PASS,Home,23922,Home,957737,successful
4379,4379,PASS,Home,957737,Home,159946,successful
4409,4409,PASS,Home,159946,Home,560916,unsuccessful
4455,4455,PASS,Away,51048,Away,931987,successful
4477,4477,PASS,Away,931987,Away,,unsuccessful
4502,4502,PASS,Home,23883,Home,26844,successful
4711,4711,PASS,Home,560917,Home,51675,successful
4736,4736,PASS,Home,51675,Home,23883,successful
4767,4767,PASS,Home,23883,Home,957737,successful
4789,4789,PASS,Home,957737,Home,23883,successful
4818,4818,PASS,Home,23883,Home,560917,successful
4829,4829,PASS,Home,560917,Home,23883,successful
4868,4868,PASS,Home,23883,Home,51675,successful
4889,4889,PASS,Home,51675,Home,23883,successful
4911,4911,PASS,Home,23883,Home,51008,successful
4923,4923,PASS,Home,51008,Home,795527,successful
4943,4943,PASS,Home,795527,Home,957737,successful
4977,4977,PASS,Home,957737,Home,23922,successful
5014,5014,PASS,Home,23922,Home,795529,successful
5047,5047,PASS,Home,795529,Home,23922,successful
5474,5474,PASS,Home,51008,Home,560916,unsuccessful
5491,5491,PASS,Away,51048,Away,795544,successful
5503,5503,PASS,Away,795544,Away,133854,successful
5544,5544,PASS,Away,133854,Away,133853,unsuccessful
5559,5559,PASS,Home,51008,Home,23883,successful
5569,5569,PASS,Home,23883,Home,795527,unsuccessful
5610,5610,PASS,Away,18573,Away,51000,successful
5638,5638,PASS,Away,51000,Away,51048,successful
5679,5679,PASS,Away,51048,Away,51045,successful
5694,5694,PASS,Away,51045,Away,51000,successful
5717,5717,PASS,Away,51000,Away,51045,successful
5738,5738,PASS,Away,51045,Away,51000,successful
5763,5763,PASS,Away,51000,Away,133854,unsuccessful
6154,6154,PASS,Away,560894,Away,18573,successful
6204,6204,PASS,Away,18573,Away,133854,successful
6214,6214,PASS,Home,795529,Home,26844,successful
6227,6227,PASS,Home,26844,Home,795527,successful
6243,6243,PASS,Home,795527,Home,560917,successful
6262,6262,PASS,Home,560917,Home,51675,successful
6282,6282,PASS,Home,51675,Home,795529,unsuccessful
