start_frame,end_frame,type,from_team,from_player,to_team,to_player,pass_outcome
12,12,PASS,Away,23909,Away,42510,successful
44,44,PASS,Away,42510,Away,698137,successful
62,62,PASS,Away,698137,Away,51015,successful
106,106,PASS,Away,51015,Away,51028,successful
125,125,PASS,Away,51028,Away,26969,successful
162,162,PASS,Away,26969,Away,51028,successful
183,183,PASS,Away,51028,Away,698137,successful
227,227,PASS,Away,698137,Away,34718,successful
254,254,PASS,Away,34718,Away,51017,unsuccessful
277,277,PASS,Home,133498,Home,50951,unsuccessful
885,885,PASS,Away,27003,Away,,unsuccessful
919,919,PASS,Home,133498,Home,50951,successful
954,954,PASS,Home,50951,Home,133498,successful
982,982,PASS,Home,133498,Home,4322,successful
1018,1018,PASS,Home,4322,Home,23418,successful
1053,1053,PASS,Home,23418,Home,285188,successful
1107,1107,PASS,Home,285188,Home,51667,successful
1137,1137,PASS,Home,51667,Home,4322,successful
1173,1173,PASS,Home,4322,Home,38673,successful
1214,1214,PASS,Home,38673,Home,133501,successful
1225,1225,PASS,Home,133501,Home,38673,successful
1242,1242,PASS,Home,38673,Home,14736,successful
1270,1270,PASS,Home,14736,Home,33697,successful
1299,1299,PASS,Home,33697,Home,133498,successful
1327,1327,PASS,Home,133498,Home,965685,successful
1351,1351,PASS,Home,965685,Home,133498,successful
1473,1473,PASS,Home,50951,Home,133498,successful
1482,1482,PASS,Home,133498,Home,965685,successful
1508,1508,PASS,Home,965685,Home,23418,successful
1525,1525,PASS,Home,23418,Home,38673,unsuccessful
1573,1573,PASS,Away,698137,Away,23909,unsuccessful
1653,1653,PASS,Home,51667,Home,133498,successful
1684,1684,PASS,Home,133498,Home,50951,successful
1689,1689,PASS,Home,50951,Home,23418,unsuccessful
2262,2262,PASS,Home,133498,Home,50951,successful
2313,2313,PASS,Home,50951,Home,133501,successful
2320,2320,PASS,Home,133501,Home,133498,successful
2334,2334,PASS,Home,133498,Home,23418,successful
2342,2342,PASS,Home,23418,Home,133501,successful
2363,2363,PASS,Home,133501,Home,33697,successful
2379,2379,PASS,Home,33697,Home,133498,successful
2393,2393,PASS,Home,133498,Home,50951,successful
2834,2834,PASS,Away,698137,Away,51046,unsuccessful
2891,2891,PASS,Away,42510,Away,51028,successful
2917,2917,PASS,Away,51028,Away,26969,unsuccessful
2973,2973,PASS,Away,27003,Away,51028,unsuccessful
3153,3153,PASS,Away,26969,Away,51028,unsuccessful
3160,3160,PASS,Away,51028,Away,51046,successful
3166,3166,PASS,Away,51046,Away,26969,unsuccessful
3195,3195,PASS,Home,4322,Home,50951,unsuccessful
3211,3211,PASS,Away,51015,Away,27003,successful
3233,3233,PASS,Away,27003,Away,26969,successful
3237,3237,PASS,Away,26969,Away,23909,successful
3262,3262,PASS,Home,51667,Home,4322,unsuccessful
3364,3364,PASS,Away,51046,Away,42510,successful
3397,3397,PASS,Away,42510,Away,698137,successful
3427,3427,PASS,Away,698137,Away,799092,successful
3462,3462,PASS,Away,799092,Away,51017,unsuccessful
3504,3504,PASS,Home,33697,Home,38673,unsuccessful
3536,3536,PASS,Away,698137,Away,51046,unsuccessful
3597,3597,PASS,Home,965685,Home,133501,successful
3636,3636,PASS,Away,26969,Away,27003,successful
3684,3684,PASS,Away,27003,Away,51017,successful
3761,3761,PASS,Away,51017,Away,51015,successful
3781,3781,PASS,Away,51015,Away,51028,successful
3807,3807,PASS,Away,51028,Away,23909,successful
3837,3837,PASS,Away,23909,Away,51017,unsuccessful
3859,3859,PASS,Home,133498,Home,38673,successful
3922,3922,PASS,Away,698137,Away,51046,successful
3961,3961,PASS,Away,51046,Away,51015,successful
3968,3968,PASS,Away,51015,Away,51046,successful
3983,3983,PASS,Away,51046,Away,698137,successful
4012,4012,PASS,Away,698137,Away,42510,successful
4066,4066,PASS,Away,42510,Away,51017,unsuccessful
4098,4098,PASS,Home,133498,Home,965685,unsuccessful
4115,4115,PASS,Away,51017,Away,23909,unsuccessful
4175,4175,PASS,Home,965685,Home,50951,successful
4191,4191,PASS,Home,50951,Home,965685,successful
4510,4510,PASS,Home,38673,Home,133498,successful
4516,4516,PASS,Home,133498,Home,965685,successful
4547,4547,PASS,Home,965685,Home,50951,successful
4574,4574,PASS,Home,50951,Home,23418,successful
4585,4585,PASS,Home,23418,Home,965685,successful
4602,4602,PASS,Home,965685,Home,133498,successful
4619,4619,PASS,Home,133498,Home,50951,successful
4629,4629,PASS,Home,50951,Home,23418,unsuccessful
4648,4648,PASS,Away,799092,Away,51017,unsuccessful
4691,4691,PASS,Home,133498,Home,14736,successful
4699,4699,PASS,Home,14736,Home,33697,successful
4722,4722,PASS,Home,33697,Home,51667,successful
4773,4773,PASS,Home,51667,Home,33697,successful
4800,4800,PASS,Home,33697,Home,51667,successful
4834,4834,PASS,Home,51667,Home,38673,successful
4849,4849,PASS,Home,38673,Home,14736,successful
4859,4859,PASS,Home,14736,Home,4322,successful
4901,4901,PASS,Home,4322,Home,133501,successful
4923,4923,PASS,Home,133501,Home,23418,successful
4946,4946,PASS,Home,23418,Home,38673,unsuccessful
4989,4989,PASS,Home,14736,Home,133498,successful
5019,5019,PASS,Home,133498,Home,,successful
5382,5382,PASS,Home,50951,Home,4322,successful
5408,5408,PASS,Away,26969,Away,51015,successful
5415,5415,PASS,Away,51015,Away,27003,successful
5457,5457,PASS,Away,51015,Away,27003,unsuccessful
5482,5482,PASS,Away,51015,Away,51028,successful
5489,5489,PASS,Away,51028,Away,23909,unsuccessful
6012,6012,PASS,Away,698137,Away,42510,successful
6040,6040,PASS,Away,42510,Away,698137,successful
6067,6067,PASS,Away,698137,Away,51046,unsuccessful
6129,6129,PASS,Home,965685,Home,133501,successful
6139,6139,PASS,Home,133501,Home,965685,unsuccessful
6337,6337,PASS,Away,51028,Away,27003,successful
6417,6417,PASS,Home,14736,Home,4322,unsuccessful
6506,6506,PASS,Away,26969,Away,51017,unsuccessful
6883,6883,PASS,Away,51015,Away,51046,successful
6907,6907,PASS,Away,51046,Away,42510,unsuccessful
6955,6955,PASS,Away,23909,Away,51046,successful
6969,6969,PASS,Away,51046,Away,698137,unsuccessful
7025,7025,PASS,Home,285188,Home,50951,unsuccessful
7051,7051,PASS,Away,799092,Away,23909,unsuccessful
7081,7081,PASS,Home,14736,Home,23418,successful
7119,7119,PASS,Away,26969,Away,27003,successful
7134,7134,PASS,Away,27003,Away,,successful
7322,7322,PASS,Away,51028,Away,26969,successful
7333,7333,PASS,Away,26969,Away,51028,successful
7349,7349,PASS,Away,51028,Away,27003,successful
7379,7379,PASS,Away,27003,Away,51028,unsuccessful
7392,7392,PASS,Home,51667,Home,38673,unsuccessful
7444,7444,PASS,Away,26969,Away,27003,unsuccessful
7458,7458,PASS,Home,51667,Home,23418,successful
7472,7472,PASS,Home,23418,Home,4322,successful
7490,7490,PASS,Home,4322,Home,38673,successful
7526,7526,PASS,Away,51046,Away,27003,successful
7566,7566,PASS,Away,27003,Away,51028,successful
7589,7589,PASS,Away,51028,Away,42510,successful
7622,7622,PASS,Away,42510,Away,799092,successful
7650,7650,PASS,Away,799092,Away,51046,successful
7658,7658,PASS,Away,51046,Away,799092,successful
7672,7672,PASS,Away,799092,Away,698137,successful
7698,7698,PASS,Away,698137,Away,42510,successful
7763,7763,PASS,Away,42510,Away,51028,successful
7793,7793,PASS,Away,51028,Away,26969,successful
7837,7837,PASS,Away,26969,Away,51028,unsuccessful
7854,7854,PASS,Home,133501,Home,14736,successful
7869,7869,PASS,Home,14736,Home,23418,successful
7881,7881,PASS,Home,23418,Home,14736,successful
7891,7891,PASS,Home,14736,Home,33697,successful
7969,7969,PASS,Home,33697,Home,51667,successful
8021,8021,PASS,Home,51667,Home,50951,successful
8067,8067,PASS,Home,50951,Home,33697,successful
8094,8094,PASS,Home,33697,Home,51667,successful
8121,8121,PASS,Home,51667,Home,33697,successful
8140,8140,PASS,Home,33697,Home,133498,unsuccessful
8160,8160,PASS,Home,133498,Home,965685,unsuccessful
8387,8387,PASS,Home,50951,Home,133498,successful
8402,8402,PASS,Home,133498,Home,38673,successful
8424,8424,PASS,Home,38673,Home,14736,successful
8450,8450,PASS,Home,14736,Home,4322,successful
8506,8506,PASS,Home,4322,Home,14736,successful
8543,8543,PASS,Home,14736,Home,51667,successful
8561,8561,PASS,Home,51667,Home,33697,successful
8583,8583,PASS,Home,33697,Home,133498,successful
8610,8610,PASS,Home,133498,Home,133501,unsuccessful
8665,8665,PASS,Home,4322,Home,133501,successful
8678,8678,PASS,Home,133501,Home,4322,successful
8688,8688,PASS,Home,4322,Home,38673,unsuccessful
8945,8945,PASS,Away,51017,Away,51046,successful
8953,8953,PASS,Away,51046,Away,,unsuccessful
8982,8982,PASS,Home,33697,Home,285188,successful
9096,9096,PASS,Home,285188,Home,51667,successful
9132,9132,PASS,Home,51667,Home,285188,successful
9174,9174,PASS,Home,285188,Home,51667,successful
9189,9189,PASS,Home,51667,Home,285188,successful
9204,9204,PASS,Home,285188,Home,38673,unsuccessful
9238,9238,PASS,Away,51028,Away,,unsuccessful
9265,9265,PASS,Home,4322,Home,133501,successful
9275,9275,PASS,Home,133501,Home,38673,successful
9354,9354,PASS,Home,133501,Home,50951,successful
9373,9373,PASS,Home,50951,Home,23418,unsuccessful
9466,9466,PASS,Home,133501,Home,23418,successful
9504,9504,PASS,Away,26969,Away,23909,unsuccessful
9551,9551,PASS,Home,51667,Home,4322,successful
9581,9581,PASS,Home,4322,Home,50951,successful
9633,9633,PASS,Home,50951,Home,133501,successful
9643,9643,PASS,Home,133501,Home,50951,successful
9657,9657,PASS,Home,50951,Home,133501,successful
9666,9666,PASS,Home,133501,Home,50951,successful
9672,9672,PASS,Home,50951,Home,23418,successful
9690,9690,PASS,Home,23418,Home,50951,unsuccessful
10691,10691,PASS,Home,4322,Home,14736,unsuccessful
10757,10757,PASS,Home,51667,Home,285188,successful
10770,10770,PASS,Home,285188,Home,50951,unsuccessful
10797,10797,PASS,Away,51015,Away,51046,successful
10820,10820,PASS,Away,51046,Away,799092,successful
10857,10857,PASS,Away,799092,Away,698137,successful
10896,10896,PASS,Away,698137,Away,799092,successful
10919,10919,PASS,Away,799092,Away,51017,unsuccessful
10955,10955,PASS,Home,133498,Home,14736,successful
10982,10982,PASS,Home,14736,Home,133501,successful
11009,11009,PASS,Home,133501,Home,4322,successful
11040,11040,PASS,Home,4322,Home,133501,successful
11050,11050,PASS,Home,133501,Home,4322,successful
11076,11076,PASS,Home,4322,Home,51667,successful
11127,11127,PASS,Home,51667,Home,33697,successful
11166,11166,PASS,Home,33697,Home,51667,successful
11187,11187,PASS,Home,51667,Home,38673,unsuccessful
11217,11217,PASS,Away,51015,Away,51046,successful
11248,11248,PASS,Away,51046,Away,27003,successful
11253,11253,PASS,Away,27003,Away,51046,unsuccessful
11297,11297,PASS,Home,965685,Home,50951,successful
11317,11317,PASS,Home,50951,Home,133501,successful
11359,11359,PASS,Home,133501,Home,4322,successful
11388,11388,PASS,Home,4322,Home,50951,successful
11412,11412,PASS,Away,698137,Away,51015,unsuccessful
11487,11487,PASS,Away,26969,Away,23909,unsuccessful
11569,11569,PASS,Home,14736,Home,965685,successful
11637,11637,PASS,Away,698137,Away,51017,successful
11649,11649,PASS,Away,51017,Away,51046,successful
11658,11658,PASS,Away,51046,Away,698137,successful
11681,11681,PASS,Away,698137,Away,27003,unsuccessful
11846,11846,PASS,Away,698137,Away,51028,successful
11895,11895,PASS,Away,51028,Away,42510,successful
