start_frame,end_frame,type,from_team,from_player,to_team,to_player,pass_outcome
40,40,PASS,Home,51002,Home,51050,successful
58,58,PASS,Home,51050,Home,51043,unsuccessful
90,90,PASS,Away,50982,Away,966114,unsuccessful
144,144,PASS,Away,809166,Away,966114,unsuccessful
187,187,PASS,Home,965697,Home,560983,successful
241,241,PASS,Home,560983,Home,560986,successful
260,260,PASS,Home,560986,Home,51002,successful
266,266,PASS,Home,51002,Home,560983,unsuccessful
282,282,PASS,Away,560987,Away,11897,successful
343,343,PASS,Away,11897,Away,966114,successful
367,367,PASS,Away,966114,Away,795530,successful
385,385,PASS,Away,795530,Away,560984,successful
419,419,PASS,Away,560984,Away,966112,unsuccessful
469,469,PASS,Away,809166,Away,795530,successful
477,477,PASS,Away,795530,Away,560984,successful
538,538,PASS,Away,560984,Away,11897,offside
1238,1238,PASS,Away,795530,Away,560984,successful
1272,1272,PASS,Away,560984,Away,11897,unsuccessful
1308,1308,PASS,Away,809166,Away,966112,successful
1336,1336,PASS,Away,966112,Away,51694,successful
1351,1351,PASS,Away,51694,Away,50982,successful
1424,1424,PASS,Away,50982,Away,966114,successful
1465,1465,PASS,Away,966114,Away,50982,successful
1493,1493,PASS,Away,50982,Away,966112,unsuccessful
1501,1501,PASS,Home,287934,Home,560882,unsuccessful
1528,1528,PASS,Away,560989,Away,809166,successful
1556,1556,PASS,Away,809166,Away,11897,successful
1609,1609,PASS,Away,11897,Away,560989,successful
1635,1635,PASS,Away,560989,Away,50982,successful
1674,1674,PASS,Away,50982,Away,560989,successful
1693,1693,PASS,Away,560989,Away,560985,successful
1734,1734,PASS,Away,560985,Away,966112,successful
1768,1768,PASS,Home,51050,Home,287934,successful
1784,1784,PASS,Home,287934,Home,51043,successful
1804,1804,PASS,Home,51043,Home,51050,successful
1820,1820,PASS,Home,51050,Home,965697,successful
1843,1843,PASS,Home,965697,Home,797298,unsuccessful
2180,2180,PASS,Home,560882,Home,51043,successful
2194,2194,PASS,Home,51043,Home,965697,successful
2241,2241,PASS,Home,965697,Home,797298,unsuccessful
2304,2304,PASS,Away,560985,Away,809166,successful
2337,2337,PASS,Away,809166,Away,560989,successful
2354,2354,PASS,Away,560989,Away,50982,successful
2387,2387,PASS,Away,50982,Away,560984,unsuccessful
2409,2409,PASS,Home,51050,Home,,unsuccessful
2570,2570,PASS,Away,560989,Away,560985,successful
2584,2584,PASS,Away,560985,Away,560984,successful
2613,2613,PASS,Away,560984,Away,966114,unsuccessful
2632,2632,PASS,Home,51050,Home,51043,successful
2660,2660,PASS,Home,51043,Home,287934,successful
2672,2672,PASS,Home,287934,Home,51043,successful
2714,2714,PASS,Home,51043,Home,797298,successful
2739,2739,PASS,Home,797298,Home,965697,successful
2778,2778,PASS,Home,965697,Home,51050,successful
2811,2811,PASS,Home,51050,Home,50999,successful
2839,2839,PASS,Home,50999,Home,287934,successful
2858,2858,PASS,Home,287934,Home,965697,successful
2922,2922,PASS,Home,965697,Home,560882,successful
3034,3034,PASS,Home,560986,Home,51043,successful
3052,3052,PASS,Home,51043,Home,560986,successful
3076,3076,PASS,Home,560986,Home,795537,unsuccessful
3083,3083,PASS,Away,50982,Away,,unsuccessful
3124,3124,PASS,Home,51043,Home,560986,unsuccessful
3634,3634,PASS,Away,560984,Away,966112,successful
3667,3667,PASS,Away,966112,Away,560984,successful
3702,3702,PASS,Away,560984,Away,795530,unsuccessful
3780,3780,PASS,Home,51002,Home,560882,successful
3810,3810,PASS,Home,560882,Home,560986,successful
3820,3820,PASS,Home,560986,Home,560882,successful
3842,3842,PASS,Home,560882,Home,51002,successful
3915,3915,PASS,Home,51002,Home,51043,successful
3917,3917,PASS,Home,51043,Home,965697,successful
3955,3955,PASS,Home,965697,Home,51002,successful
3994,3994,PASS,Home,51002,Home,,unsuccessful
4136,4136,PASS,Home,965697,Home,51050,successful
4166,4166,PASS,Home,51050,Home,560983,successful
4195,4195,PASS,Home,560983,Home,51050,successful
4210,4210,PASS,Home,51050,Home,,unsuccessful
4408,4408,PASS,Home,560986,Home,560983,successful
4429,4429,PASS,Home,560983,Home,51002,successful
4449,4449,PASS,Home,51002,Home,795537,unsuccessful
4483,4483,PASS,Home,51002,Home,51043,successful
4544,4544,PASS,Home,51043,Home,560882,unsuccessful
4675,4675,PASS,Home,287934,Home,51050,successful
4713,4713,PASS,Home,51050,Home,287934,successful
4732,4732,PASS,Home,287934,Home,51002,successful
4738,4738,PASS,Home,51002,Home,965697,successful
4767,4767,PASS,Home,965697,Home,51043,successful
4789,4789,PASS,Home,51043,Home,560882,successful
4848,4848,PASS,Home,560882,Home,51002,successful
4887,4887,PASS,Home,51002,Home,797298,successful
4905,4905,PASS,Away,809166,Away,795530,successful
4945,4945,PASS,Away,809166,Away,966114,successful
4996,4996,PASS,Away,50982,Away,560985,successful
5012,5012,PASS,Away,560985,Away,966114,unsuccessful
5144,5144,PASS,Home,50999,Home,51050,successful
5172,5172,PASS,Home,51050,Home,51002,successful
5223,5223,PASS,Home,51002,Home,797298,successful
5286,5286,PASS,Home,797298,Home,51043,successful
5309,5309,PASS,Home,51043,Home,51050,successful
5342,5342,PASS,Home,51050,Home,560983,successful
5374,5374,PASS,Home,560983,Home,560986,successful
5376,5376,PASS,Home,560986,Home,560983,unsuccessful
5468,5468,PASS,Away,795530,Away,11897,successful
5549,5549,PASS,Home,287934,Home,51002,successful
5576,5576,PASS,Away,560987,Away,795530,successful
5591,5591,PASS,Away,795530,Away,966114,successful
5621,5621,PASS,Away,966114,Away,560987,successful
5639,5639,PASS,Away,560987,Away,966112,successful
5669,5669,PASS,Home,965697,Home,560882,unsuccessful
5723,5723,PASS,Away,560989,Away,560985,successful
5755,5755,PASS,Away,560985,Away,809166,successful
5790,5790,PASS,Away,809166,Away,11897,successful
5813,5813,PASS,Away,11897,Away,966112,unsuccessful
5836,5836,PASS,Home,560983,Home,51002,successful
5843,5843,PASS,Home,51002,Home,51050,successful
5864,5864,PASS,Home,51050,Home,287934,successful
5918,5918,PASS,Home,287934,Home,560882,successful
5926,5926,PASS,Home,560882,Home,287934,successful
5938,5938,PASS,Home,287934,Home,51002,successful
5959,5959,PASS,Home,51002,Home,560983,successful
5992,5992,PASS,Home,560983,Home,51050,successful
6018,6018,PASS,Home,51050,Home,560986,unsuccessful
6035,6035,PASS,Away,11897,Away,51694,successful
6073,6073,PASS,Home,51002,Home,51050,successful
6101,6101,PASS,Home,51050,Home,965697,successful
6125,6125,PASS,Home,965697,Home,51043,successful
6160,6160,PASS,Home,51043,Home,560882,successful
6179,6179,PASS,Home,560882,Home,797298,unsuccessful
6194,6194,PASS,Away,50982,Away,966114,successful
6238,6238,PASS,Away,966114,Away,560984,unsuccessful
6438,6438,PASS,Away,560989,Away,809166,successful
6464,6464,PASS,Away,809166,Away,51694,successful
6480,6480,PASS,Away,51694,Away,11897,successful
6509,6509,PASS,Away,11897,Away,560987,successful
6540,6540,PASS,Away,560987,Away,51694,successful
6575,6575,PASS,Away,51694,Away,560987,successful
6611,6611,PASS,Away,560987,Away,809166,successful
6639,6639,PASS,Away,809166,Away,560985,successful
6674,6674,PASS,Away,560985,Away,50982,successful
6698,6698,PASS,Away,50982,Away,966114,unsuccessful
6939,6939,PASS,Away,795530,Away,50982,successful
6945,6945,PASS,Away,50982,Away,560984,unsuccessful
6956,6956,PASS,Home,965697,Home,560882,successful
6975,6975,PASS,Home,560882,Home,51002,successful
7013,7013,PASS,Away,560984,Away,966112,successful
7034,7034,PASS,Away,966112,Away,11897,successful
7091,7091,PASS,Away,11897,Away,560984,unsuccessful
7105,7105,PASS,Home,51043,Home,797298,successful
7132,7132,PASS,Home,797298,Home,51002,successful
7138,7138,PASS,Home,51002,Home,560882,unsuccessful
7208,7208,PASS,Away,560989,Away,809166,successful
7235,7235,PASS,Away,809166,Away,560987,successful
7281,7281,PASS,Away,560987,Away,809166,successful
7307,7307,PASS,Away,809166,Away,560985,successful
7337,7337,PASS,Away,560985,Away,,unsuccessful
7415,7415,PASS,Home,51043,Home,50999,successful
7463,7463,PASS,Home,50999,Home,51050,successful
7488,7488,PASS,Home,51050,Home,965697,successful
7512,7512,PASS,Home,965697,Home,287934,successful
7520,7520,PASS,Home,287934,Home,51050,successful
7545,7545,PASS,Home,51050,Home,51002,successful
7556,7556,PASS,Home,51002,Home,287934,unsuccessful
8500,8500,PASS,Home,965697,Home,795537,unsuccessful
8561,8561,PASS,Home,287934,Home,795537,successful
8618,8618,PASS,Away,50982,Away,560985,successful
8676,8676,PASS,Away,560985,Away,809166,successful
8696,8696,PASS,Away,809166,Away,795530,successful
8711,8711,PASS,Away,795530,Away,560985,successful
8748,8748,PASS,Away,560985,Away,560987,unsuccessful
8777,8777,PASS,Home,560983,Home,560986,successful
8831,8831,PASS,Home,560986,Home,797298,successful
8889,8889,PASS,Home,797298,Home,560986,successful
8909,8909,PASS,Home,560986,Home,560983,successful
8929,8929,PASS,Home,560983,Home,287934,successful
8946,8946,PASS,Home,287934,Home,560983,successful
8965,8965,PASS,Home,560983,Home,51002,successful
8982,8982,PASS,Home,51002,Home,560986,successful
9049,9049,PASS,Home,560986,Home,560983,successful
9064,9064,PASS,Home,560983,Home,51002,successful
9091,9091,PASS,Home,51002,Home,560882,unsuccessful
9100,9100,PASS,Away,11897,Away,966112,successful
9157,9157,PASS,Away,795530,Away,966114,successful
9174,9174,PASS,Away,966114,Away,560984,successful
9187,9187,PASS,Away,560984,Away,50982,successful
9234,9234,PASS,Away,50982,Away,560989,successful
9260,9260,PASS,Away,560989,Away,809166,successful
9291,9291,PASS,Away,809166,Away,560989,successful
9310,9310,PASS,Away,560989,Away,809166,successful
9346,9346,PASS,Away,809166,Away,560987,unsuccessful
9441,9441,PASS,Away,966112,Away,795530,successful
9467,9467,PASS,Away,795530,Away,966114,successful
9533,9533,PASS,Home,797298,Home,51043,unsuccessful
10018,10018,PASS,Away,560989,Away,51694,successful
10020,10020,PASS,Away,51694,Away,560987,unsuccessful
10216,10216,PASS,Home,560882,Home,51002,successful
10257,10257,PASS,Home,51002,Home,560986,successful
10268,10268,PASS,Home,560986,Home,51050,successful
10287,10287,PASS,Home,51050,Home,560983,successful
10317,10317,PASS,Home,560983,Home,51050,successful
10343,10343,PASS,Home,51050,Home,50999,successful
10390,10390,PASS,Home,50999,Home,51043,successful
10436,10436,PASS,Home,51043,Home,965697,successful
10460,10460,PASS,Home,965697,Home,50999,successful
10491,10491,PASS,Home,50999,Home,51002,successful
10516,10516,PASS,Home,51002,Home,560986,successful
10529,10529,PASS,Home,560986,Home,287934,successful
10553,10553,PASS,Home,287934,Home,560882,successful
10603,10603,PASS,Home,560882,Home,797298,successful
11087,11087,PASS,Home,965697,Home,287934,unsuccessful
11109,11109,PASS,Away,966112,Away,795530,successful
11153,11153,PASS,Away,795530,Away,966114,successful
11172,11172,PASS,Away,966114,Away,560987,unsuccessful
11656,11656,PASS,Away,51694,Away,966114,unsuccessful
11670,11670,PASS,Home,51043,Home,560986,unsuccessful
11691,11691,PASS,Away,560989,Away,966112,unsuccessful
