start_frame,end_frame,type,from_team,from_player,to_team,to_player,duration_frames
5417,5418,PASS,Home,10,Home,7,1
5450,5451,TURNOVER,Home,7,Away,15,1
5469,5470,TURNOVER,Away,15,Home,8,1
5486,5487,TURNOVER,Home,8,Away,19,1
5508,5509,TURNOVER,Away,19,Home,4,1
5550,5551,PASS,Home,4,Home,8,1
5651,5652,TURNOVER,Home,8,Away,21,1
5654,5655,TURNOVER,Away,21,Home,9,1
5676,5677,PASS,Home,9,Home,4,1
5723,5728,PASS,Home,4,Home,7,5
5756,5757,PASS,Home,7,Home,9,1
5770,5771,TURNOVER,Home,9,Away,19,1
5785,5786,PASS,Away,19,Away,21,1
5855,5856,TURNOVER,Away,21,Home,8,1
5860,5861,TURNOVER,Home,8,Away,15,1
5887,5888,TURNOVER,Away,15,Home,9,1
5895,5896,TURNOVER,Home,9,Away,19,1
5931,5932,TURNOVER,Away,19,Home,9,1
5950,5951,TURNOVER,Home,9,Away,16,1
5978,5990,PASS,Away,16,Away,17,12
6051,6061,PASS,Away,17,Away,18,10
6370,6371,PASS,Home,1,Home,5,1
6410,6411,TURNOVER,Home,5,Away,20,1
6414,6415,TURNOVER,Away,20,Home,9,1
6497,6498,TURNOVER,Home,9,Away,22,1
6508,6509,TURNOVER,Away,22,Home,1,1
6603,6604,TURNOVER,Home,1,Away,20,1
6619,6620,PASS,Away,20,Away,16,1
6645,6667,TURNOVER,Away,16,Home,6,22
6689,6690,TURNOVER,Home,6,Away,23,1
6702,6703,TURNOVER,Away,23,Home,6,1
6717,6718,TURNOVER,Home,6,Away,24,1
6747,6748,TURNOVER,Away,24,Home,4,1
6752,6753,TURNOVER,Home,4,Away,24,1
6760,6761,TURNOVER,Away,24,Home,6,1
6814,6815,TURNOVER,Home,6,Away,20,1
6817,6818,TURNOVER,Away,20,Home,1,1
6847,6848,PASS,Home,1,Home,4,1
6912,6926,PASS,Home,4,Home,8,14
7073,7074,TURNOVER,Home,8,Away,19,1
7093,7129,PASS,Away,19,Away,18,36
7860,7861,PASS,Away,25,Away,17,1
